,title,description
24,Mortal Kombat 4,"['Thousands of years ago in a battle with the fallen Elder God known as Shinnok, I was responsible for the death of an entire civilization. To rid all realms of Shinnok\'s menace I waged a war that plunged the Earth into centuries of darkness and banished Shinnok into a place called the Netherealm. Now after Shao Kahn\'s defeat at the hands of Earth\'s warriors, Shinnok has managed to escape his confines in the Netherealm. The war is now being fought once again. ""Only this time It can be won by mortals."" - The Words of Raiden Battle with one of 15 characters. With newly forged weapons that will slash and bludgeon beyond imagination. The most advanced combat sim you have ever seen. Are you ready to take on the challenge...1']"
25,Hot Wheels World Race,"[""Compete to be the world's greatest driver in the most intense race ever created- the Highway 35 circuit. Do you have what it takes to master treacherous jumps, death defying loops, and win the Hot Wheels World Race event?""]"
26,Backyard Hockey 2005 (PC) / Backyard Basketball (PC/Mac) bundle,"['Backyard Basketball and Backyard Hockey 2005 feature 3-on-3 action (plus goalies in Hockey), 3 ways to play (Quick Game, Single Match or a complete Season Play), various selections of courts and rinks, unlockables and dozens of power-ups.']"
27,Hot Wheels Interactive Stunt Track Challenge,[]
28,I Spy Mystery,['brain building computer game']
29,Hidden Expedition: Titanic,"['On April 14, 1912, the great steamship RMS Titanic struck an iceberg and within hours it sank to the bottom of the Atlantic Ocean. As part of the Hidden Expedition Adventure League, it`s your job to explore the wreckage of this once-majestic ship and collect antique artifacts for the Titanic Museum. Through 14 diving missions you will scour 17 locations on the ship for cleverly-hidden clues that will lead you to the ultimate artifact: The Crown Jewels. Get ready to lose yourself in a historic adventure of epic proportions!']"
30,Video Game Tycoon Gold Edition,['Video Game Tycoon Gold Edition']
31,IL-2 Sturmovik 1946,[]
32,Petz Vet,['Help keep multiple pets healthy in this Pet Veterinarian simulation.']
33,Ageod's American Civil War 1861-1865 the Blue and the Gray,"[""In AGEOD's American Civil War - The Blue and the Gray, players are military and political leaders trying to lead the troops of their nations (armies and fleets) to victory, in the midst of some of the toughest operations during those five years of wild campaigning throughout a divided nation. Most of the individual years of campaign between 1861 and 1865 are playable via a separate scenario. Advanced scenarios will allow recreation of some yearly and/or theatre campaigns, and there will be of course the complete Grand Campaign covering the whole war.""]"
34,NBA 2K9,"['Breathtaking action in full HD resolution brings you radically improved facial textures &amp; eye movement, true-to-life crowd reactions &amp; celebration sequences, &amp; much more.  New Signature Defensive Styles &amp; more Signature Shorts, dunks, &amp; free throws give you EVEN MORE distinctive player styles.  Now your teammates &amp; your opponents read, react, &amp; adjust in real time.  All-new NBA.com interface, Player Ambitions, Player Scouting, &amp; more options for the casual player make this the most robust Franchise mode ever.']"
35,Call of duty ghost,"['The franchise that has defined a generation of gaming is set to raise the bar once again with the all-new Call of Duty: Ghosts. Published by Activision and developed by Infinity Ward, the studio that created the original Call of Duty and the critically-acclaimed Call of Duty: Modern Warfare series, Call of Duty: Ghosts ushers in the next generation of the franchise, delivering a riveting all-new gameplay experience built on an entirely new story, setting and cast, all powered by a new next-generation Call of Duty engine.']"
36,Sony PlayStation 4 PS4 500GB Original Matte Black CUH-1215A System (Used),['<br />']
37,FIFA Soccer 2013 - PC-DVD Import - Free Action Game with Every Purchase,"[""FIFA 13 is the 2012 release in Electronic Arts' long-running professional soccer game franchise. Based on the current real-life players, teams and leagues associated with the FIFA organization (Federation International de Football), the game aims to present the most realistic international soccer experience available in a video game to-date. Features include, gameplay mechanics improvements on both offense and defense, an extensive roster of players, teams and leagues, multiplayer play options both locally and online, and social network functionality through the EA Sports Football Club.  \n\n\nFIFA 13 captures all the drama and unpredictability of real-world soccer, and is driven by five game-changing innovations which revolutionize artificial intelligence, dribbling, ball control and physical play. It is the largest and deepest feature set in the history of the franchise. These innovations create a true battle for possession across the entire pitch, deliver freedom and creativity in attack, and capture all the drama and unpredictability of the real-world game.""]"
38,Anno 2070,['ANNO 2070BRAND NEW - IN STOCKDVD Rom Software for Windows 7 / Vista / XP']
39,HITMAN ABSOLUTION (PC),"['Hitman: Absolution follows Agent 47, a cold-blooded assassin, who takes on his most dangerous contract to date. Betrayed by those he once trusted -- and now hunted by the police -- he suddenly finds himself at the center of a dark conspiracy and must embark on a personal journey through a corrupt and twisted world. Boasting a cinematic story, distinctive art direction and highly original game design, Hitman: Absolution combines much-loved classic gameplay with features never seen before in the Hitman franchise.']"
40,Need for Speed: The Run - Limited Edition - PC-DVD - Free Action Game with Every Purchase,"[""Bonus contents of the Limited Edition:\n\nLamborghini Aventador - Open up this 700hp untamed beast on the highway and you'll see the fear in your rival's eyes.\n\nChevrolet Camaro ZL1 - When your life is on the line the Camaro will be bullied by no one.\n\nPorsche 911 Carrera S - Finally, who wouldn't want to drive the most highly anticipated car of 2011? With its raw power and pin point handling, the Carrera S is exclusive to Need for Speed The Run.\n\nNow that you have your elite cars, the five exclusive Limited Edition racing events will put them to the test. The Limited Edition serves up all new opportunities to battle your friends on Autolog and the chance to master your driving skills while earning bonus rewards and achievements. \n\nIt's called The Run. An illicit, high-stakes race across the country. The only way to get your life back is to be the first from San Francisco to New York. No speed limits. No rules. No allies. All you have are your driving skills and sheer determination as you battle hundreds of the world's most notorious drivers on the country's most dangerous roads. In Need for Speed The Run, you'll weave through dense urban centers, rocket down icy mountain passes and navigate narrow canyons at breakneck speeds, all the while evading a relentless police force prepared  and willing  to use lethal force to take you down.\n\nWith no speed limits, rules or allies available, only Jack's determination and driving skills will keep him going in this heart-stopping race to get his life back. Thrills and excitement hide around every corner of this breakneck race across the country, but so do the police  and the men who want him dead. Evading these ruthless forces in one town won't be enough. You must have the Need for Speed.""]"
41,Dirt 3,"['Dirt 3 is a popular rally racing game for PlayStation 3 that combines the feel of fast-paced arcade style racing action across multiple surfaces and environments with realistic features found on real off-road circuits. The third release in the acclaimed off-road racing franchise, Dirt 3 features a range of racing and driving disciplines at spectacular locations, more than 100 routes, the finest selection of licensed action-sports racing cars, multistage rallies set at classic locations, exhilarating snow racing action and mesmerizing Gymkhana race events.']"
42,You Don't Know Jack: Movies,"['This software is BRAND NEW. Packaging may differ slightly from the stock photo above. Please click on our logo above to see over 15,000 titles in stock.']"
43,Barbie Storymaker Cd Rom,"['Barbie Story Maker for the PC(CD-ROM)\nWindows 3.1, 95, &amp; 98', '', '']"
44,The Complete Ultima VII,['video game']
45,Level 90 WoW Character,['- Seller will transfer this level 90 Horde Death Knight to the Buyers pre-existing WoW account.\n\n- Seller will provide a Server Transfer and Name Change upon initial purchase if buyer requests.\n\n- Check out the following link for a complete profile on this character:\n\nhttp://us.battle.net/wow/en/character/deathwing/Plya/simple']
46,World of Warcraft Account + Diablo 3 + Hearthstone Beta,"[""Selling WOW Account + Diablo 3 + HearthstoneBeta\n\nI've had the account since 2007 and leveled up a lot of characters/professions.\nThere is more than what is listed here but these are the key points.\n\n 90 Death Knight ilvl 476\n 90 Warrior ilvl 474\n 90 Monk ilvl 462\n 90 Mage ilvl 441\n 88 Shaman\n 86 Rogue with Fear and Vengeance\n 85 Paladin, Priest, Shaman, Druid\n 80 Warrior, Death Knight\n\nProfessions:\n\nLeather Working: 600\nSkinning: 600\nCooking: 600\nFirst Aid: 600\nMining: 600\nTailoring: 600\nAlchemy: 600\nHerbalism: 600\nEnchanting: 600\nJewel Crafting: 600\nInscription: 600\n\nOther:\n5815 Achievement Points\n13 Feats of Strength\n170 Pets\n10 Rare/Epic Mounts\n20,000+ Gold total\nHeirloom Gear\n8 Titles\n\nFeel free to email me or message me for more information or payment details. I can send the information over Skype or phone if that's preferred.""]"
47,Legend of Zelda Box Set Prima Official Game Guide,"[""It's 6 Legend Of Zelda strategy guides, offered in a numbered, Limited Edition set with a certificate of authenticity: Wind Waker HD, Skyward Sword, Ocrena of Time, Spirit Tracks, Twilight Princess and Phantom Hourglass. Combined with the custom treasure chest book holder and gold 2-sided bookmark, this combo is truly unique. Makes the perfect, and ultimate, gift for the Legends of Zelda fan!""]"
48,Urban Runner                         C/W95/Us,"['The player is Max, an American journalist in Paris. There seems to be a story at hand, about a big drug dealer who is covered by some influential person in politics. To get the dealer talking, the player offers him a photography in exchange for some information. But when the player gets there, the druglord is dead and everyones on their back - mistaking them for the killer.\n\nThe game itself is a movie adventure on four CD-ROMs, dividing gameplay in Clue- and Action-turns. The player can control the game completely via mouse.']"
49,Aces of the Deep,"['This is for MS DOS! Authentic sound effects, including digitized crew speech, creaking hulls, deapth charge explosions and the twisting metal of sinking ships take you into the most desperate battle of W.W.11. An arsenal of torpedoes including pattern running and acoustic homing makes this experience of submersible war machines prowling the stormy seas unforgetable. It takes you to the icy water of the North Atlantic in a battle where the hunter becomes the hunted. Encluded is the manual, complete with historical overview, U boat capabilities and tactics, convoy tactics and an exquisite color map. This software version comes on 3.5 floppy disc, not on CD-ROM']"
50,Earthsiege 2                         C/W95/Us,['EarthSiege 2 - CD-ROM - For Windows 3.1 and 95']
51,3-D Ultra Pinball: Creep Night,"[""Full Tilt Thrills at a Ghoulish Pinball World. Once every 100 years a vortex to the underworld opens and chaos reigns as ghosts, gremlins and gargoyles wreak havoc in a haunted castle. Only furious flipper-action and lightning-quick rank shots can vanquish the ghouls as you warp between the castle courtyard, mad scientist's lab, and dungeon catacombs. If you're good enough to get the bonus table, you'll face the Goblin King at a ghoulish grand final where your speedy reflexes will seal the vortex and send the nasty creatures packing - until the next time.""]"
52,"Editor in Chief: Level A1, Grades 4-5","['Promotes writing and communication skills, and language mechanics']"
53,Dual Drive Pro Active Feedback Game for Wild Divine IOM Finger Sensors,"['', 'Relax to Win as you accelerate &amp; control your car through incredible 3D graphical scenes. Dual Drive Pro teaches you relaxation and optimal breathing techniques. When you learn and practice these techniques in Dual Drive you can see your heart rate changes and relaxation (optimal HRV) levels. This gives you important feedback as to how well you are breathing and how relaxed you are.', 'While playing Dual Drive Pro in racing mode, the breath pacer helps you breathe slowly and steadily while the relaxation dial shows how relaxed you are. Relax and breathe in and out with the breath pacer to raise the dial and power your car.', '<b>NOTE: This game requires the iFeel, Lightstone or IOM finger sensors hardware NOT included. This is software game only. <br /><br />For WINDOWS XP, Vista ,Win 7, Win 8,Win 10 operating systems ONLY.</b>', '']"
54,Ai Yori Aoshi - Interactive Visual Novel [PC Game],"[""One day, a beautiful kimono-clad young woman suddenly appears in front of college student Kaoru Hanabishi. She is Aoi Sakuraba who has been arranged to marry him since they were children. The agreement is one forged between their families. Kaoru has cut ties to his family and its corporate group and cannot accept Aoi, but as he gets to know her, he is won over by her sense of devotion and kind heart. Aoi sympathizes with Kaoru's plight and resolves to stay and live with him. So the young couple - both born with silver spoons in their mouths - start their new life together in Kaoru's cramped apartment.""]"
55,Cyber Deer: Hunter Education Software,"['Not a video game but an interactive educational program, Cyber Deer allows a computer user to shoot an anatomically accurate whitetail from any user-selected height, distance or angle, using bow or firearm settings, and then analyze the shot\'s internal path through the deer. After ""firing,"" the user\'s shot-path is highlighted and remains on the screen while the user zooms in and rotates the deer to see the entry and exit path up close. Then, the user can strip away layers, starting with the skin, to see how the shot-path affects the skeleton and internal organs of the deer. After stripping away the skin and skeleton, a user can then individually remove the stomach, diaphragm, liver, lungs and heart to study which organs were affected. Meanwhile, continue to rotate the image or zoom in or out for detailed analysis.\n\nHave you ever wondered how height and angle affects shot placement for a bowhunter? What about where to aim on those quartering-away shots? Where should you aim to hit the heart? All of these questions can be answered with Cyber Deer. Additionally, while the Cyber Deer program will allow you to take a shot from any angle you want to try, it will also tell you when a shot angle you chose is not advisable and less likely to be effective.\n\nVeteran hunters will benefit from Cyber Deer, and it will also be a fantastic tool for anyone teaching others about ethical hunting and effective shot placement, including parents teaching their children, mentors teaching new hunters, and hunter-education instructors. Cyber Deer can easily be shared with groups by using a PowerPoint projector.']"
56,Might As Well Dance,['Need inspiration. Feel like the world is against you. This short read will help you look at the world in a different light and help you improve your life.']
57,Dark Age Apocalypse: Forcelists HC,"['DAG0006 Dark Age Apocalypse Forcelists Book Miniature \n<br /> \n<br />Saints battle for dominion over forsaken Samaria, and creatures both more and less than human vie for power! The Dark Age Force Lists Book is the only tome you will need to command any force on this ravaged world. 356-Full Color pages, complete with Stats, background and Art for every faction, this beautiful hardcover book is required reading for any would be warlord, and a great way to understand the grimly beautiful universe of Dark Age!']"
58,Motion Plus Sensor For Wii Remote Controller Black,"[""Brand New and High Quality\nConnect the Wii MotionPlus accessory to your Wii Remote controller to increase accuracy and enhance play control on compatible games. \nattaches to the end of the Wii Remote and, combined with the accelerometer and the sensor bar, allows for more comprehensive tracking of a player's arm position and orientation, providing players with an unmatched level of precision and immersion.\nIt is easy and convenient to use. When playing the games, whenever you have any shakes at your hand, the controller can show your subtle movements accurately on the screen, which will make gamer feel more realistic and feel you are there! And there will be more and more games appeared that you can play only coordinate with motion plus.\nSo Wii motion plus is a necessity for gamers which will give you a super-realistic feel. All functions of this product are fully complies with the original function operation.\nLook on the back of Wii Game Disc WiiMotion Plus detailspackaging to see which games are specially designed for use with Wii MotionPlus.\nColor: Black""]"
59,"Tips, Tricks &amp; Trips For Microsoft's Flight Simulator X - PC","[""Microsoft's Flight Simulator X is now making its way onto the computer systems of many virtual pilots. FSX takes advantage of today's more powerful processors and graphic cards to deliver an extraordinary realistic simulation environment. Within FSX lies a huge variety of user controlled features that broaden the experience even further than was previously possible. With this additional power comes some level of complexity. The aim of this new book is to put the complexity to rest so that you can enjoy the Flight Simulator experience rather than fight it.""]"
60,Bloodnet: A Cyberpunk Gothic,['CYBERPUNK VAMPIRE ROLE-PLAYING PC GAME SET IN THE NEAR FUTURE (MANHATTAN 2094).']
61,Captain Bible: Dome of Darkness,"[""This is a dramatic Bible-based science fiction computer game for the whole family, age 7 to adult. It's exciting with full-color animated scenes and 7 levels of adventure.""]"
62,Microsoft Arcade,[]
63,Quickverse 3.0 King James Version for Windows,[]
64,Rifts RPG: The Rifter&reg; #56,[]
65,ZAERO - Mission Pack for Quake II,[]
66,My Book of Mormon Activities - Hour of Fun for the Whole Family,"[""Looking for some good, clean fun on the computer? My Book of Mormon Activity CD-ROM by Val Chadwick Bagley is the answer-for the whole family! Young children will love the fun and wasy-to-use coloring program that lets them color over a dozen Book of Mormon images on the computer, or print them out for Church or other activities. Or there's the interactive matching game based on the popular 'Choose the Right' playing cards. Teenagers and even adults will have fun with the word search program that can generate dozens of puzzles-from extra easy to really hard.\n\nThis package also includes a variety of print and play activity pages that will keep the kids busy for hours during family trips or those 'boring' afternoons at home. Even better, there's nothing to install! Just insert the CD-ROM in your Windows computer and wait for the fun to start!""]"
67,Preschool Edge: 10 Educational Titles on 10 CDs,"['', '<b><font color=""#000080"">An educational learning kit sure to be a hit with preschoolers!</font></b><br /> <br />', 'Brighter Minds have put together a learningkit sure to be a hit for preschool children. It not only has 10 CD-ROMs packed with activities, three colorful workbooks, and three learning card games, the actual box that holds all of the materials has a wipe-clean practice writing board anderasable marker for children to practice writing their alphabets. In addition, there are instructions on the inside of the box cover to turn the box into a lap desk.<br /> <br /> Why a multimedia approach to learning? Research shows thateducation is mot effective when reinforced by more than one source. This philosophy is why the Brighter Minds Preschool Edge System will help your child succeed. Children will explore an enormous range of subjects.<br /> <br /> <br />', '<br />', '<br />', '', '<!--\n\t\t\t\t    \t\n\t\t\t\t\t</p-->']"
68,MOTLEY CRUE Guitar Hero Faceplate for Les Paul Controller,['MOTLEY CRUE Guitar Hero Faceplate for Les Paul Controller for PlayStation and XBox.']
69,Fantasy Flight Games Descent: Well of Darkness,"['Return to the underground labyrinths of Descent: Journeys in the Dark with a host of new challenges! The Well of Darkness expansion includes over 30 new plastic miniatures, featuring six new heroes, tricky kobolds, blood-sucking ferrox and unstoppable golems, plus new relics, skills, quests and optional rules.', ""An Ancient Threat Rears Its Head Once More ... Deep in the bowels of the world, there lies a chasm that was sealed over a millenium ago. Within it lies a force of evil so great that, were it to be unleashed, it would plunge the world into a thousand years of darkness. Before you can face that challenge, however, you'll battle your way through dank tunnels, trapped temples, and even volcanoes to prove your worth. You'll face a host of new tricks, traps, and other lethal obstacles over the course of your quest, including scything blades, rolling boulders, and boiling hot lava. Descent: the Well of Darkness features six new heroes, tricky kobolds, bloodsucking ferrox, and unstoppable golems. Heroes will find more skill and treasures at their disposal, including six new relics and a new type of potion. The Overlord, on the other hand, gains the ability to customize his deck before every game, putting in devastating new trap, event, and spawn cards. Descent: the Well of Darkness includes:  Over 30 plastic models, including 3 new monster types and six new heroes! New traps, including scything blades, dart fields, lightning bolts, and the dreaded giant boulder!  New hero abilities of all sorts, including a new familiar! Brand new quests, more dangerous than can be believed! Six new relics! A new type of potion! New customizable Overlord deck rules make the evil more treacherous than ever before! New treasures! More dungeon tiles make for even larger dungeons! Nine new quests with never-before-seen peril!""]"
70,Kingdoms of Kalamar Dungeon Master's Shield,"['The ultimate DM shield and the essential accessory for any D&D or d20 Dungeon Master. Dozens of tables, charts and all new and beautiful artwork cover this amazing 24-panel screen! Everything a DM has ever imagined and longed for. Every essential d20 table is included, along with a host of other useful information, all at your fingertips. Spend more time playing, and less time searching for rules.']"
71,Evil Hat Productions Fate Worlds: Worlds on Fire,"[""Fate Worlds is an expansion for the Fate Core System. Flexible RPG systems like Fate Core are terrific if you have the time and energy to put into building a world. But we also realize that sometimes extensive prep just isn't feasible. The good news? You can still experience the Fate awesomeness with the help of the Fate Worlds expansion. Fate Worlds Volume One: Worlds on Fire is the first in a two-volume set. In Worlds on Fire, you get six rich story settings. Each setting includes custom mechanics, NPCs, and story elements-all ready to go using the system provided in Fate Core. We've got you covered regardless of your flavor of RPG choice. Divest an evil cult of a powerful idol in Tower of the Serpents, or experience the small town supernatural in White Picket Witches. Explore the lives, loves, and losses of fire fighters in Fight Fire, or take on a horde of WWI mechanical monstrosities in Krieg zeppelin Valkyrie. Whether you stick with one world or go on a grand tour, Fate Worlds will provide everything you need to develop your Fate Core adventure except the snacks. Fate Worlds. All the worlds. Your stage.""]"
72,Evil Hat Productions Fate Freeport Companion,"[""Welcome to the Fate Freeport Companion! For over a decade, Freeport has stood as one of fantasy gaming's most distinctive cities. Home to pirates, foul cults, terrifying monsters, vicious gangs, crime lords and a whole host of corrupt politicians, Freeport is a dynamic setting, offering a unique blend of high adventure and cosmic horror. Inside these packed covers, you'll find: Rules design by noted Fate Core authorities Brian Engard and Clark Valentine. A new skill system for Fate Core that utilizes six base skills: Strength, Dexterity, Constitution, Intelligence, Wisdom and Charisma. A brand-new magic system that melds classic fantasy RPG flavor with Fate Core rules. An all-new insanity and madness system to evoke the popular Lovecraftian overtones of the City of Adventure. Rules for using weapons, armor, magic items and even firearms! Fate Core stats for Freeport monsters, including the freakish blemmyae and the dreaded burnlings. Details on the core races and how they fit in the city, as well as rules for implementing player character race in Fate. Statistics for over 75 heroic allies and and terrible villains described in The Pirate's Guide to Freeport. Fury in Freeport: A new adventure to help you launch a brand-new Freeport campaign! The Fate Freeport Companion is your rules guide to exploring Green Ronin Publishing's Freeport, whether as a daring hero looking for adventure, or as a Gamemaster seeking new worlds to explore, this sourcebook is an indispensable accessory for fans of both Freeport and the Fate Core System!""]"
73,Warhammer Fantasy Roleplay: The Enemy Within,"['Warhammer Fantasy Roleplay: The Enemy Within', 'Who is the man in the black hood. Explore classic themes of corruption and betrayal in The  Enemy Within, a massive campaign for Warhammer Fantasy Roleplay that takes characters all the way from their first sessions to the pinnacles of legend. A sinister figure stands poised to thrust the Old World into chaos, but fate has chosen an unlikely band of heroes to oppose him.  Can you solve this mystery before its too late.']"
74,Star Wars: Edge of the Empire RPG - Dangerous Covenants,"['', ""At the Edge of the Empire?, you can find yourself pitted against an array of deadly enemies bent on your destruction. When negotiations fail, make sure you're prepared to shoot first with Dangerous Covenants!<br /><br /> This upcoming rules supplement for Star Wars: Edge of the Empire? expands the Hired Gun career with specializations, new talents, and more. All players will find new character, vehicle, and equipment options, aiding in their experiences on the fringe. GMs can also find new tools helping them craft memorable and exciting combat encounters."", '', 'In Dangerous Covenants the Hired Guns of the Star Wars: Edge of the Empire Roleplaying Game, find a wealth of all-new content, including new specializations, talents and signature abilitie? Meanwhile, all players can benefit from new character, vehicle and equipment options and Game Masters can find helpful advice for crafting meaningful combat encounters in their campaign? Load your weapons and prepare to shoot first with Dangerous Covenants!']"
